date,new
2022-1-1,131
2022-1-2,101
2022-1-3,108
2022-1-4,41
2022-1-5,132
2022-1-6,116
2022-1-7,95
2022-1-8,92
2022-1-9,97
2022-1-10,110
2022-1-11,166
2022-1-12,124
2022-1-13,143
2022-1-14,104
2022-1-15,65
2022-1-16,163 
2022-1-17,127
2022-1-18,55
2022-1-19,43
2022-1-20,23
2022-1-21,23
2022-1-22,19
2022-1-23,18
2022-1-24,18
2022-1-25,24
2022-1-26,25
2022-1-27,39
2022-1-28,37
2022-1-29,54
2022-1-30,40
2022-1-31,27
2022-2-1,36
2022-2-2,21
2022-2-3,12
2022-2-4,9
2022-2-5,13
2022-2-6,45
2022-2-7,65
2022-2-8,73
2022-2-9,7
2022-2-10,56
2022-2-11,40
2022-2-12,28
2022-2-13,26
2022-2-14,40
2022-2-15,46
2022-2-16,35
2022-2-17,40
2022-2-18,80
2022-2-19,101
2022-2-20,71
2022-2-21,59
2022-2-22,90
2022-2-23,85
2022-2-24,82
2022-2-25,93
2022-2-26,112
2022-2-27,87
2022-2-28,75
2022-3-1,71
2022-3-2,54
2022-3-3,61
2022-3-4,102
2022-3-5,175
2022-3-6,214
2022-3-7,175
2022-3-8,233
2022-3-9,402
2022-3-10,397
2022-3-11,476
2022-3-12,1807
2022-3-13,1337
2022-3-14,3507
2022-3-15,1860
2022-3-16,1226
2022-3-17,2388
2022-3-18,2157
2022-3-19,1656
2022-3-20,1947
2022-3-21,2281
2022-3-22,2591
2022-3-23,2010
2022-3-24,1301
2022-3-25,1280
2022-3-26,1217
2022-3-27,1219
2022-3-28,1228
2022-3-29,1565
2022-3-30,1803
2022-3-31,1787
2022-4-1,2086
2022-4-2,1455
2022-4-3,1366
2022-4-4,1173
2022-4-5,1383
2022-4-6,1284
2022-4-7,1540
2022-4-8,1334
2022-4-9,1318
2022-4-10,1164
2022-4-11,1251
2022-4-12,1500
2022-4-13,2999
2022-4-14,3472
2022-4-15,3867
2022-4-16,3504
2022-4-17,2723
2022-4-18,3297
2022-4-19,2753
2022-4-20,2830
2022-4-21,2119
2022-4-22,2971
2022-4-23,1566
2022-4-24,2606
2022-4-25,1908
2022-4-26,1818
2022-4-27,1494
2022-4-28,5646
2022-4-29,1410
2022-4-30,916
2022-5-1,846
2022-5-2,368
2022-5-3,353
2022-5-4,360
2022-5-5,356
2022-5-6,345
2022-5-7,319
2022-5-8,401
2022-5-9,349
2022-5-10,302
2022-5-11,222
2022-5-12,312
2022-5-13,253
2022-5-14,226
2022-5-15,140
2022-5-16,162
2022-5-17,227
2022-5-18,191
2022-5-19,176
2022-5-20,181
2022-5-22,174
2022-5-23,141
2022-5-24,102
2022-5-25,104
2022-5-26,80
2022-5-27,71
2022-5-28,54
