date,confirm,no,new,total
9月1日,2,2,4,4
9月2日,5,3,8,12
9月3日,4,0,4,16
9月4日,6,1,7,23
9月5日,5,3,8,31
9月6日,3,1,4,35
9月7日,1,1,2,37
9月8日,1,0,1,38
9月9日,0,0,0,38
9月10日,0,0,0,38
9月11日,0,0,0,38
9月12日,0,0,0,38
9月13日,0,0,0,38
9月14日,0,0,0,38
9月15日,0,0,0,38
9月16日,0,1,1,39
9月17日,0,0,0,39
9月18日,1,0,1,40
9月19日,0,0,0,40
9月20日,1,0,1,41
9月21日,2,0,2,43
9月22日,1,4,5,48
9月23日,1,0,1,49
9月24日,3,0,3,52
9月25日,2,0,2,54
9月26日,2,1,3,57
9月27日,0,1,1,58
9月28日,0,0,0,58
9月29日,1,2,3,61
9月30日,0,0,0,61
10月1日,0,0,0,61
10月2日,5,3,8,69
10月3日,10,7,17,86
10月4日,8,5,13,99
10月5日,14,13,27,126
10月6日,16,8,24,150
10月7日,15,12,27,177
10月8日,13,9,22,199
10月9日,5,15,20,219
10月10日,7,1,8,227
10月11日,3,2,5,232
10月12日,6,7,13,245
10月13日,13,3,16,261
10月14日,20,8,28,289
10月15日,20,16,36,325
10月16日,3,27,30,355
10月17日,16,43,59,414
10月18日,21,31,52,466
10月19日,6,44,50,516
10月20日,10,46,56,572
10月21日,12,46,58,630
10月22日,18,39,57,687
10月23日,16,53,69,756
10月24日,22,43,65,821
10月25日,27,46,73,894
10月26日,11,39,50,944
10月27日,19,46,65,1009
10月28日,54,85,139,1148
10月29日,66,125,191,1339
10月30日,232,295,527,1866
10月31日,190,289,479,2345
11月1日,73,253,326,2671
11月2日,50,323,373,3044
11月3日,142,430,572,3616
11月4日,111,635,746,4362
11月5日,66,1259,1325,5687
11月6日,122,1813,1935,7622
11月7日,114,2263,2377,9999
11月8日,91,2546,2637,12636
11月9日,125,2430,2555,15191
11月10日,225,2358,2583,17774
11月11日,259,2921,3180,20954
11月12日,189,3464,3653,24607
11月13日,189,3876,4065,28672
11月14日,147,4977,5124,33796
11月15日,158,6138,6296,40092
11月16日,275,8486,8761,48853
11月17日,255,8989,9244,58097
11月18日,269,8444,8713,66810
11月19日,200,8234,8434,75244
11月20日,296,7885,8181,83425
11月21日,253,7957,8210,91635
11月22日,235,7735,7970,99605
11月23日,428,7192,7620,107225
11月24日,257,7267,7524,114749
11月25日,361,7058,7419,122168
11月26日,146,7266,7412,129580
11月27日,199,7166,7365,136945
11月28日,286,6993,7279,144224
11月29日,541,6454,6995,151219
11月30日,683,6315,6998,158217
