date,confirm,no,new,total,range
9月1日,1,32,33,33,部分
9月2日,3,18,21,54,部分
9月3日,3,19,22,76,全市
9月4日,2,12,14,90,全市
9月5日,0,12,12,102,部分
9月6日,0,7,7,109,部分
9月7日,1,2,3,112,部分
9月8日,1,4,5,117,部分
9月9日,2,5,7,124,全市
9月10日,1,5,6,130,部分
9月11日,1,3,4,134,部分
9月12日,0,2,2,136,部分
9月13日,0,4,4,140,部分
9月14日,1,19,20,160,部分
9月15日,9,27,36,196,全市
9月16日,5,40,45,241,全市
9月17日,0,28,28,269,全市
9月18日,8,18,26,295,部分
9月19日,3,15,18,313,部分
9月20日,3,8,11,324,全市
9月21日,1,10,11,335,部分
9月22日,1,10,11,346,部分
9月23日,3,3,6,352,全市
9月24日,3,9,12,364,部分
9月25日,3,16,19,383,部分
9月26日,4,38,42,425,部分
9月27日,8,47,55,480,部分
9月28日,13,26,39,519,部分
9月29日,11,61,72,591,全市
9月30日,3,24,27,618,全市
10月1日,3,26,29,647,部分
10月2日,1,20,21,668,部分
10月3日,1,18,19,687,全市
10月4日,2,57,59,746,部分
10月5日,3,57,60,806,部分
10月6日,4,11,15,821,部分
10月7日,0,8,8,829,全市
10月8日,0,4,4,833,部分
10月9日,0,0,0,833,部分
10月10日,0,7,7,840,部分
10月11日,0,4,4,844,全市
10月12日,1,0,1,845,部分
10月13日,0,7,7,852,部分
10月14日,0,7,7,859,全市
10月15日,0,9,9,868,全市
10月16日,0,16,16,884,部分
10月17日,0,8,8,892,部分
10月18日,0,9,9,901,全市
10月19日,3,27,30,931,部分
10月20日,6,53,59,990,部分
10月21日,3,53,56,1046,部分
10月22日,4,50,54,1100,全市
10月23日,3,38,41,1141,部分
10月24日,3,36,39,1180,部分
10月25日,4,16,20,1200,部分
10月26日,1,6,7,1207,部分
10月27日,1,6,7,1214,部分
10月28日,3,17,20,1234,全市
10月29日,0,24,24,1258,部分
10月30日,3,30,33,1291,部分
10月31日,2,24,26,1317,部分
11月1日,0,17,17,1334,部分
11月2日,1,10,11,1345,部分
11月3日,1,5,6,1351,部分
11月4日,0,9,9,1360,部分
11月5日,0,11,11,1371,全市
11月6日,1,12,13,1384,部分
11月7日,2,28,30,1414,部分
11月8日,1,26,27,1441,部分
11月9日,2,37,39,1480,部分
11月10日,2,35,37,1517,部分
11月11日,4,53,57,1574,部分
11月12日,2,58,60,1634,部分
11月13日,6,75,81,1715,全市
11月14日,3,73,76,1791,部分
11月15日,2,78,80,1871,部分
11月16日,3,70,73,1944,部分
11月17日,3,94,97,2041,部分
11月18日,0,76,76,2117,部分
11月19日,3,122,125,2242,部分
11月20日,6,192,198,2440,全市
11月21日,1,264,265,2705,部分
11月22日,5,240,245,2950,部分
11月23日,1,456,457,3407,全市
11月24日,3,418,421,3828,全市
11月25日,6,578,584,4412,全市
11月26日,1,569,570,4982,全市
11月27日,6,689,695,5677,全市
11月28日,3,791,794,6471,全市
11月29日,4,866,870,7341,全市
11月30日,1,720,721,8062,部分
